plant_code,lat,lon,State
4214,45.448977,-122.151257,OR
4258,38.6472,-82.8594,OH
4263,40.964828,-111.433937,UT
6006,38.9153,-81.9081,OH
6012,42.7297,-72.9303,MA
6047,42.573084,-72.707274,MA
6083,42.5995,-72.7335,MA
6086,45.164024,-91.157427,WI
6087,33.3502,-83.1574,GA
6100,37.029304,-118.968252,CA
6119,42.6198,-72.7376,MA
6126,34.3061,-81.3308,SC
6128,29.449827,-101.06011,TX
6130,34.6121,-84.6733,GA
6131,32.324242,-86.784319,AL
6132,34.0256,-82.5953,GA
6133,32.918674,-85.1887,GA
6140,39.524791,-91.643969,MO
6141,38.2623,-93.4062,MO
6142,35.4693,-93.8175,AR
6151,35.055795,-85.387934,TN
6158,37.946927,-120.528211,CA
6159,38.510573,-107.625335,CO
6163,47.957511,-118.977323,WA
6167,38.20889,-79.8,VA
6168,38.06,-77.7897,VA
6171,36.9614,-84.27,KY
6172,48.4098,-115.3143,MT
6174,42.6717,-122.6772,OR
6175,46.659503,-117.429385,WA
6188,33.258281,-85.616047,AL
6189,34.355538,-85.303942,GA
